,orn_peak_ch,orn_peak_lat,orn_peak_amp,orn_mean_amp,pid,condition,ds
56,F3,0.209,-1.1836385681161494,-0.047592600701702445,22,changing,orn_deviants
57,F3,0.242,-1.1732006996360573,1.6477907777246787,23,changing,orn_deviants
58,Cz,0.191,-1.7638532163035496,-0.6889460242642437,24,changing,orn_deviants
59,FC2,0.109,-0.5029329250589455,-0.0011198547358021419,25,changing,orn_deviants
60,FC1,0.123,-0.7096748492585329,0.020275142861714855,26,changing,orn_deviants
61,Fz,0.196,-3.1372651914996195,-2.3361865881344017,29,changing,orn_deviants
62,Cz,0.165,-3.6949092393408547,-2.1812136200456744,30,changing,orn_deviants
63,F3,0.145,-2.0679867363555973,-0.7193060901644722,31,changing,orn_deviants
64,FC2,0.12,-1.4815195224658262,-0.16020482716512005,32,changing,orn_deviants
65,F4,0.243,-0.22555670653401252,0.8809085459040296,33,changing,orn_deviants
66,Cz,0.286,-1.9753675360583836,-0.27701248510065457,34,changing,orn_deviants
67,Cz,0.118,-1.4165517651692885,0.05894789524714614,35,changing,orn_deviants
68,F3,0.226,-2.722123783120835,-1.577141304692517,36,changing,orn_deviants
69,Cz,0.204,-1.5981314669979683,-0.06626610335100201,37,changing,orn_deviants
70,FC2,0.125,-3.018147302098924,-1.9524078245285788,1,inharmonic,orn_standards
71,Cz,0.154,-2.4431317614815384,-1.4365527883685492,2,inharmonic,orn_standards
72,Fz,0.153,-13.31861548440343,-6.089271601988531,3,inharmonic,orn_standards
73,FC1,0.126,-1.666717718787129,-0.8558672088304238,4,inharmonic,orn_standards
74,FC1,0.206,-1.0025647185535995,-0.3763278096924792,5,inharmonic,orn_standards
75,Fz,0.144,-1.585281339699456,-0.7814871890902673,6,inharmonic,orn_standards
76,FC2,0.133,-4.280327969648306,-3.0158119346500776,7,inharmonic,orn_standards
77,FC1,0.145,-1.3696348891348042,-0.7400915037687225,8,inharmonic,orn_standards
