,p2_amp,pid,condition,deviance
108,0.24883646887213492,4,inharmonic,deviant_1
109,-0.3199624585501786,5,inharmonic,deviant_1
110,0.3667721834657964,6,inharmonic,deviant_1
111,-4.7190485986432575,7,inharmonic,deviant_1
112,-1.710821211072095,8,inharmonic,deviant_1
113,-2.1131156983450663,9,inharmonic,deviant_1
114,-1.761274262838682,10,inharmonic,deviant_1
115,0.5495588949029537,11,inharmonic,deviant_1
116,-3.9921240643680123,12,inharmonic,deviant_1
117,-0.6316389137638911,13,inharmonic,deviant_1
118,-4.470666893250657,14,inharmonic,deviant_1
119,-2.339756850610832,15,inharmonic,deviant_1
120,1.5027742624927618,16,inharmonic,deviant_1
121,-1.155869280486947,17,inharmonic,deviant_1
122,-3.2420221323269347,18,inharmonic,deviant_1
123,-2.064405780908478,19,inharmonic,deviant_1
124,-2.7954862092660107,20,inharmonic,deviant_1
125,-5.874759525793919,21,inharmonic,deviant_1
126,-4.534040360824707,22,inharmonic,deviant_1
127,-2.115596205321598,23,inharmonic,deviant_1
128,-2.7547183336378684,24,inharmonic,deviant_1
129,-0.9995645641678361,25,inharmonic,deviant_1
130,-0.8971286986526467,26,inharmonic,deviant_1
131,0.033869950683306074,29,inharmonic,deviant_1
132,-0.014082356137822044,30,inharmonic,deviant_1
133,-1.492345127189137,31,inharmonic,deviant_1
134,-3.721857782223321,32,inharmonic,deviant_1
135,-3.7098834752619325,33,inharmonic,deviant_1
136,-4.570174867486146,34,inharmonic,deviant_1
137,-0.25198158664062753,35,inharmonic,deviant_1
138,0.3805355929744175,36,inharmonic,deviant_1
139,0.8360321173802048,37,inharmonic,deviant_1
140,1.0582146783804085,1,inharmonic_changing,standard
141,-0.2335284874519314,2,inharmonic_changing,standard
142,-6.262079611169576,3,inharmonic_changing,standard
143,0.056003901025962394,4,inharmonic_changing,standard
144,0.0696229324469565,5,inharmonic_changing,standard
145,0.6155973294349439,6,inharmonic_changing,standard
146,-3.815788262495107,7,inharmonic_changing,standard
147,-1.0740509522188029,8,inharmonic_changing,standard
148,0.34419134735995466,9,inharmonic_changing,standard
149,-2.271705230880408,10,inharmonic_changing,standard
150,1.3290490386680656,11,inharmonic_changing,standard
151,-1.7753977662103546,12,inharmonic_changing,standard
152,0.39608262144486334,13,inharmonic_changing,standard
153,-1.2199852097023511,14,inharmonic_changing,standard
154,0.7228387521991115,15,inharmonic_changing,standard
155,-0.06682796546038072,16,inharmonic_changing,standard
156,-0.967737392662468,17,inharmonic_changing,standard
157,-1.2871331904939656,18,inharmonic_changing,standard
158,-0.25128314874386976,19,inharmonic_changing,standard
159,-0.8962799341789331,20,inharmonic_changing,standard
160,-3.8771622163602992,21,inharmonic_changing,standard
161,-2.3190839749470755,22,inharmonic_changing,standard
162,-0.4763166742905217,23,inharmonic_changing,standard
163,-2.1179935540265853,24,inharmonic_changing,standard
164,-0.6254080024000069,25,inharmonic_changing,standard
165,0.3969190719584656,26,inharmonic_changing,standard
166,0.7749947971623734,29,inharmonic_changing,standard
167,0.2517286588223756,30,inharmonic_changing,standard
168,1.395404578355966,31,inharmonic_changing,standard
169,-2.5047380531904966,32,inharmonic_changing,standard
